"","Scan.name","ROI..label.","Condition","SegmentDisplayName","section"
"collect slide 1 | 014 | Full ROI","collect slide 1",14,"Control","collect slide 1 | 014 | Full ROI","section01"
"collect slide 1 | 013 | Full ROI","collect slide 1",13,"Control","collect slide 1 | 013 | Full ROI","section01"
"collect slide 1 | 012 | Full ROI","collect slide 1",12,"Control","collect slide 1 | 012 | Full ROI","section01"
"collect slide 1 | 011 | Full ROI","collect slide 1",11,"Control","collect slide 1 | 011 | Full ROI","section01"
"collect slide 1 | 010 | Full ROI","collect slide 1",10,"Control","collect slide 1 | 010 | Full ROI","section01"
"collect slide 1 | 009 | Full ROI","collect slide 1",9,"Control","collect slide 1 | 009 | Full ROI","section02"
"collect slide 1 | 008 | Full ROI","collect slide 1",8,"Control","collect slide 1 | 008 | Full ROI","section02"
"collect slide 1 | 007 | Full ROI","collect slide 1",7,"Control","collect slide 1 | 007 | Full ROI","section02"
"collect slide 1 | 006 | Full ROI","collect slide 1",6,"Control","collect slide 1 | 006 | Full ROI","section02"
"collect slide 1 | 002 | Full ROI","collect slide 1",2,"Control","collect slide 1 | 002 | Full ROI","section02"
"collect slide 1 | 001 | Full ROI","collect slide 1",1,"Control","collect slide 1 | 001 | Full ROI","section02"
"collect slide 1 | 005 | Full ROI","collect slide 1",5,"Control","collect slide 1 | 005 | Full ROI","section02"
"collect slide 1 | 004 | Full ROI","collect slide 1",4,"Control","collect slide 1 | 004 | Full ROI","section02"
"collect slide 1 | 003 | Full ROI","collect slide 1",3,"Control","collect slide 1 | 003 | Full ROI","section02"
"collect slide 2 | 018 | Full ROI","collect slide 2",18,"Control","collect slide 2 | 018 | Full ROI","section04"
"collect slide 2 | 017 | Full ROI","collect slide 2",17,"Control","collect slide 2 | 017 | Full ROI","section04"
"collect slide 2 | 016 | Full ROI","collect slide 2",16,"Control","collect slide 2 | 016 | Full ROI","section04"
"collect slide 2 | 015 | Full ROI","collect slide 2",15,"Control","collect slide 2 | 015 | Full ROI","section04"
"collect slide 2 | 014 | Full ROI","collect slide 2",14,"Control","collect slide 2 | 014 | Full ROI","section04"
"collect slide 2 | 013 | Full ROI","collect slide 2",13,"Control","collect slide 2 | 013 | Full ROI","section04"
"collect slide 2 | 012 | Full ROI","collect slide 2",12,"Control","collect slide 2 | 012 | Full ROI","section04"
"collect slide 2 | 011 | Full ROI","collect slide 2",11,"Control","collect slide 2 | 011 | Full ROI","section04"
"collect slide 2 | 010 | Full ROI","collect slide 2",10,"Control","collect slide 2 | 010 | Full ROI","section04"
"collect slide 2 | 009 | Full ROI","collect slide 2",9,"Control","collect slide 2 | 009 | Full ROI","section03"
"collect slide 2 | 008 | Full ROI","collect slide 2",8,"Control","collect slide 2 | 008 | Full ROI","section03"
"collect slide 2 | 007 | Full ROI","collect slide 2",7,"Control","collect slide 2 | 007 | Full ROI","section03"
"collect slide 2 | 006 | Full ROI","collect slide 2",6,"Control","collect slide 2 | 006 | Full ROI","section03"
"collect slide 2 | 005 | Full ROI","collect slide 2",5,"Control","collect slide 2 | 005 | Full ROI","section03"
"collect slide 2 | 003 | Full ROI","collect slide 2",3,"Control","collect slide 2 | 003 | Full ROI","section03"
"collect slide 2 | 002 | Full ROI","collect slide 2",2,"Control","collect slide 2 | 002 | Full ROI","section03"
"collect slide 2 | 001 | Full ROI","collect slide 2",1,"Control","collect slide 2 | 001 | Full ROI","section03"
"collect slide 3 | 015 | Full ROI","collect slide 3",15,"PsA","collect slide 3 | 015 | Full ROI","section06"
"collect slide 3 | 014 | Full ROI","collect slide 3",14,"PsA","collect slide 3 | 014 | Full ROI","section06"
"collect slide 3 | 013 | Full ROI","collect slide 3",13,"PsA","collect slide 3 | 013 | Full ROI","section06"
"collect slide 3 | 012 | Full ROI","collect slide 3",12,"PsA","collect slide 3 | 012 | Full ROI","section06"
"collect slide 3 | 011 | Full ROI","collect slide 3",11,"PsA","collect slide 3 | 011 | Full ROI","section06"
"collect slide 3 | 010 | Full ROI","collect slide 3",10,"PsA","collect slide 3 | 010 | Full ROI","section06"
"collect slide 3 | 009 | Full ROI","collect slide 3",9,"PsA","collect slide 3 | 009 | Full ROI","section05"
"collect slide 3 | 008 | Full ROI","collect slide 3",8,"PsA","collect slide 3 | 008 | Full ROI","section05"
"collect slide 3 | 007 | Full ROI","collect slide 3",7,"PsA","collect slide 3 | 007 | Full ROI","section05"
"collect slide 3 | 006 | Full ROI","collect slide 3",6,"PsA","collect slide 3 | 006 | Full ROI","section05"
"collect slide 3 | 005 | Full ROI","collect slide 3",5,"PsA","collect slide 3 | 005 | Full ROI","section05"
"collect slide 3 | 004 | Full ROI","collect slide 3",4,"PsA","collect slide 3 | 004 | Full ROI","section05"
